objID,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z
587745541047452987,133.05111436,11.69522102,24.4031,23.64299,21.98333,20.78023,20.21541
587745243083702410,133.01032457,11.92614502,16.52107,15.09926,14.57104,14.40919,14.33745
587745403608629462,133.0106776,11.60053509,16.32135,14.99127,14.52492,14.36678,14.3106
587744873716515376,133.01072426,12.02719675,21.69538,25.10656,26.10676,23.87335,22.84418
587744873716515769,133.01089189,12.02900554,24.18684,24.02874,22.67967,21.28866,20.30861
587744873716515242,133.0110246,12.01798241,23.09364,23.11891,21.73653,20.21012,19.38998
587745541047452707,133.06388885,11.65143147,24.21512,22.41425,21.58317,21.54544,21.44508
587745243083702764,133.06402906,11.86182673,20.66706,18.14143,16.82131,15.7349,15.11862
587745243083702575,133.06439344,11.88372774,16.12427,14.77397,14.30234,14.17037,14.13167
587745243083702613,133.06445228,11.93109836,17.32811,16.13808,15.71972,15.55996,15.52443
587745541047452553,133.06449671,11.76446059,21.76814,21.41524,21.43963,21.1298,21.23139
587745403608695289,133.06461714,11.60643796,22.41068,25.33962,24.19451,24.73656,23.03203
587745243083702787,133.0646292,11.94129462,19.9861,18.35348,17.71746,17.48031,17.38483
587745243083703485,133.06466947,11.94691174,25.19819,24.40553,21.91564,20.43788,19.6063
587745541047451942,133.06477838,11.66573223,18.60177,16.51042,15.65831,15.32465,15.13228
587744873716580739,133.06512795,12.04187797,21.9522,26.32662,23.66291,23.27041,24.28471
587745403608695016,133.06516361,11.60070012,21.40844,20.20903,19.81969,19.6857,19.69517
587745541047452723,133.06528118,11.67818238,22.98347,22.1089,21.55667,21.32891,21.60255
587744873716580562,133.06529185,12.03538543,22.38697,19.66956,18.45323,17.95747,17.68251
587745541047452537,133.05199069,11.67319859,22.38209,24.30647,24.51098,23.59244,22.03322
587745403608695011,133.05209455,11.62733946,21.1929,18.56999,17.26677,16.73443,16.42747
587745541047452534,133.0521251,11.67201893,21.90652,21.55,21.58502,21.70749,22.02546
587745541047453225,133.05212968,11.75640128,23.60127,25.30474,24.43211,22.511,22.39264
587745541047451910,133.05218565,11.74179296,20.76247,19.75827,19.40994,19.29233,19.30064
587745243083702542,133.05221051,11.8759226,15.83535,14.41479,13.98735,13.73566,13.6726
587745541047452480,133.05245797,11.77858994,25.04097,22.90534,21.26785,20.25521,19.60964
587745243083702554,133.05253956,11.91591179,16.72736,15.55908,15.17948,15.05766,15.02273
587745243083702347,132.96627352,11.93574468,19.00327,16.61385,15.58308,15.24888,15.05068
587745541047387430,132.96638016,11.7336944,26.0691,23.50168,22.62899,22.64572,21.77006
587745541047387422,132.96642513,11.70503011,25.24819,23.99877,22.41199,21.29701,20.70599
587744873716515657,132.9665104,11.98716388,25.01035,23.34654,21.83795,20.38257,19.37827
587745541047452519,133.00478039,11.77757727,22.50067,25.68276,24.19119,24.52815,23.09606
587745243083702420,133.00485895,11.90631223,22.4881,22.34348,20.97186,19.47971,18.53923
587745243083702949,133.00528061,11.80769842,21.55397,25.53159,24.54564,25.14348,22.88313
587745243083703600,133.00544975,11.82701531,25.60978,25.29339,24.32193,24.77942,20.71366
587745243083702865,133.0056192,11.94645185,23.60877,20.75753,19.22616,18.0492,17.38073
587745541047452940,133.00604112,11.7820084,24.91949,24.12587,22.68373,21.66586,21.3406
587745243083702950,133.0061499,11.80981539,22.29834,24.69205,24.50107,24.85837,22.82562
587745541047452250,133.00618862,11.79287219,23.56116,20.75117,19.2888,18.24886,17.65195
587745541047452671,133.00627591,11.79083139,24.09285,23.18314,23.60368,22.95926,22.77056
587745243083702776,133.05448522,11.94946195,24.44468,20.56773,19.38816,18.87475,18.76664
587744873716580553,133.05462736,12.02714235,20.13407,17.52472,16.31208,15.79825,15.54919
587745541047452997,133.05463884,11.69640841,23.35786,23.4651,22.75922,22.85959,22.39757
587745541047452764,133.05491091,11.8084101,22.88612,22.81612,22.68435,22.41015,21.82151
587745403608630475,133.05495462,11.59836713,24.96414,25.31341,22.9212,21.57234,20.88355
587745541047452704,133.05497632,11.6805688,23.18813,23.36419,22.68465,22.27271,21.82476
587745243083702775,133.05501179,11.95014956,20.90294,18.40215,17.41444,17.07729,16.87792
587745541047452714,133.05510127,11.70463628,23.8817,23.51742,21.59157,20.60229,19.89562
587745541047452481,133.05517035,11.79519545,22.9221,23.06235,21.61011,20.25459,19.45341
587745243083702785,133.05525648,11.95270549,23.40013,22.13492,21.5132,21.28085,20.6523
587745403608695252,133.05560794,11.60347169,24.48567,22.18051,20.75193,19.53645,18.89437
587745243083702882,133.05571022,11.92714239,23.2705,21.70326,20.06006,19.04823,18.45429
587745243083703200,133.05578435,11.91316639,23.8034,23.1801,22.42101,22.01814,22.01521
587745541047452260,133.05580475,11.65381401,21.76336,19.24476,17.77547,16.87144,16.36865
587745541047452548,133.05582453,11.77241529,22.04681,21.78148,21.28659,21.15046,21.23674
587745243083637386,132.9541636,11.89132438,24.62378,18.60468,18.78199,17.51438,17.07729
587745243083637381,132.9543815,11.89182284,24.62342,18.88372,18.45652,17.73712,19.1858
587745243083637306,132.95473043,11.8287505,14.16461,14.31485,15.86957,15.02961,12.40367
587745541047386902,132.95474378,11.65605755,21.64071,20.56112,20.06222,19.91356,19.72827
587745243083637311,132.95475289,11.81222384,21.92181,21.07921,20.86204,20.56239,20.88496
587745243083637989,132.95486665,11.92087922,24.7551,24.89923,22.34488,21.26323,19.95641
587744873716515470,132.95499625,12.0186156,22.93525,23.00327,23.22479,22.59019,22.82396
587745541047386741,132.95509764,11.78597054,19.47563,17.63904,16.95738,16.74445,16.64736
587745541047386743,132.95522253,11.78811128,23.24737,23.87768,22.20428,21.99063,21.62395
587745243083637808,132.95534893,11.86182404,22.28004,21.33863,20.92223,20.91092,20.27234
587745243083703045,133.01105861,11.81317701,24.00756,22.50268,21.68707,21.43067,21.42232
587745541047452399,133.01127274,11.77697676,23.14551,21.04099,19.49765,18.4773,17.89696
587745243083703605,133.01139072,11.88811762,25.76882,25.14906,25.70756,25.75121,20.36387
587745403608630124,133.01139149,11.62376381,25.6828,23.07266,21.72837,21.31996,20.80557
