z,petroMag_r
0.08888223,17.34656
0.1061618,16.79747
0.1061002,16.79747
0.1043854,17.31251
0.1043731,17.31251
0.08316904,17.98767
0.08326827,17.98767
0.08395144,17.83779
0.08389291,17.83779
0.08376556,16.04789
0.08362591,16.04789
0.06510994,17.22006
0.06515202,17.22006
0.0893447,16.96149
0.08925618,16.96149
0.1315038,17.7915
0.1315158,17.7915
0.3662392,18.57923
0.3661507,18.57923
0.1267641,17.3711
0.1267284,17.3711
0.126749,17.57914
0.1267773,17.57914
0.3458382,18.68427
0.3456734,18.68427
0.1381044,17.66304
0.138101,17.66304
0.1358207,17.5593
0.1357928,17.5593
0.02970634,16.14607
0.02971761,16.14607
0.1237858,17.54867
0.123813,17.54867
0.3352522,18.63081
0.3353468,18.63081
0.05524246,17.82271
0.3193989,20.20149
0.3198486,20.20149
0.1370773,17.73089
0.1370819,17.73089
0.1367156,17.67867
0.09280282,17.15029
0.09281023,17.15029
0.2812809,19.38486
0.2812139,19.38486
0.0929079,17.39965
0.09292519,17.39965
0.03037344,17.75233
0.0303927,17.75233
0.1320238,17.78136
0.1321323,17.78136
0.3207971,19.37993
0.242001,18.03267
0.2422717,18.03267
0.320558,19.37993
0.1181929,17.62005
0.1182048,17.62005
0.1374794,17.66105
0.1375089,17.66105
0.1364992,16.58057
0.1365255,16.58057
0.2207208,17.71097
0.220755,17.71097
0.3543083,20.21899
0.3542666,20.21899
0.3200144,18.46126
0.3200764,18.46126
0.03013469,17.75706
0.03012059,17.75706
0.1369092,18.23014
0.1369291,18.23014
0.07916347,15.94801
0.07917856,15.94801
0.2838756,18.5903
0.2837276,18.5903
0.1361432,16.84354
0.1361994,16.84354
0.07333375,17.53653
0.07331129,17.53653
0.04958517,17.24457
0.04957435,17.24457
0.07318074,15.32999
0.07317334,15.32999
0.09024068,16.90839
0.09031707,16.90839
0.1367295,17.67867
0.4021618,18.7217
0.4021634,18.7217
0.3691974,18.93459
0.3693364,18.93459
0.3350124,19.06259
0.335078,19.06259
0.2031299,17.53357
0.2031962,17.53357
0.07158983,16.04546
0.07163119,16.04546
0.3679494,18.96064
0.3680652,18.96064
0.1425823,17.44649
0.1426178,17.44649
0.1640238,17.75592
0.1640542,17.75592
0.3582107,18.92463
0.3580701,18.92463
0.3422793,18.6159
0.3420536,18.6159
0.1259298,17.51051
0.1259125,17.51051
0.08972443,16.95618
0.08970696,16.95618
0.1532182,17.83683
0.1533533,17.83683
0.1482937,17.81952
0.1482354,17.81952
0.221124,17.6786
0.2211432,17.6786
0.1296703,17.6665
0.1295754,17.6665
0.06237372,17.6336
0.06232524,17.6336
0.136939,16.893
0.3616388,18.66764
0.3619706,18.66764
0.4019348,19.11609
0.4018917,19.11609
0.4028558,18.48007
0.4026804,18.48007
0.07224317,17.65497
0.07221299,17.65497
0.104339,18.96313
0.1043429,18.96313
0.4029921,19.42723
0.4027825,19.42723
0.08274971,17.10125
0.0827344,17.10125
0.3179209,17.73922
0.317908,17.73922
0.1041308,17.71427
0.104177,17.71427
0.3574482,18.47773
0.3574101,18.47773
0.02985582,17.41204
0.02986698,17.41204
0.0879712,17.46047
0.08797427,17.46047
0.3301314,18.51128
0.330145,18.51128
0.1041929,16.50981
0.1042032,16.50981
0.1319543,17.02014
0.1319736,17.02014
0.03038725,14.03523
0.03034461,14.03523
0.2139246,17.66371
0.2138606,17.66371
0.3712488,18.62304
0.3711277,18.62304
0.05265867,17.84603
0.05265425,17.84603
0.02122228,14.84587
0.02127545,14.84587
0.06518305,16.24518
0.06522541,16.24518
0.06492077,15.69998
0.06490172,15.69998
0.1403996,17.32401
0.1404723,17.32401
0.3845786,19.13003
0.384653,19.13003
0.3740553,18.84042
0.3742266,18.84042
0.127658,17.82652
0.127676,17.82652
0.06592802,17.51942
0.06589106,17.51942
0.1536002,17.11336
0.153699,17.11336
0.1449594,17.6326
0.1448017,17.6326
0.2046449,17.42474
0.2045784,17.42474
0.06770252,17.52689
0.06773794,17.52689
0.06757296,15.73643
0.06759457,15.73643
0.1527078,17.34769
0.1526121,17.34769
0.09833237,17.2985
0.0983509,17.2985
0.1477088,17.0031
0.1477299,17.0031
0.1463829,17.86584
0.1464075,17.86584
0.4605287,19.21964
0.460163,19.21964
0.369527,18.94397
0.3694264,18.94397
0.4057267,19.46785
0.4059377,19.46785
0.151113,17.53356
0.1510908,17.53356
0.1415308,16.83233
0.1414595,16.83233
0.118615,17.59805
0.1185693,17.59805
0.1426113,17.77647
0.1425671,17.77647
0.1239149,17.69874
0.1239989,17.69874
0.1370083,17.86592
0.1369654,17.86592
0.06832181,17.47974
0.06839606,17.47974
0.3323593,20.52731
0.3319561,20.52731
0.1333344,17.11518
0.1333014,17.11518
0.1376365,17.31169
0.1376023,17.31169
0.1230624,17.21336
0.1230684,17.21336
0.1902689,17.70933
0.1904178,17.70933
0.2122287,17.2766
0.2121835,17.2766
0.02971181,14.68842
0.02972358,14.68842
0.08656628,16.41541
0.08652754,16.41541
0.1234221,17.30627
0.123407,17.30627
0.1136982,16.86354
0.113752,16.86354
0.125742,17.36021
0.1256925,17.36021
0.1895752,18.88655
0.1896202,18.88655
0.1298707,17.35563
0.1298005,17.35563
0.1478068,17.582
0.1478484,17.582
0.08673545,17.17966
0.08661384,17.17966
0.05450143,17.84756
0.05450845,17.84756
0.05377915,17.30026
0.05380891,17.30026
0.05125462,17.11732
0.05128497,17.11732
0.08527369,15.89764
0.08527959,15.89764
0.1288318,17.25301
0.1288883,17.25301
0.1146387,17.27315
0.1146314,17.27315
0.1363609,17.14549
0.1363901,17.14549
0.05628477,15.42379
0.05590629,17.2838
0.05591804,17.2838
0.1364272,17.61967
0.1032647,17.28526
0.1032539,17.28526
0.1348176,16.69988
0.134877,16.69988
0.02391719,17.18656
0.02394634,17.18656
0.08441756,16.38871
0.08446732,16.38871
0.2292755,17.82648
0.2293116,17.82648
0.08476738,17.82465
0.08477385,17.82465
0.0837293,17.44618
0.08369549,17.44618
0.1226162,17.7631
0.1227012,17.7631
0.03588079,16.67676
0.0359001,16.67676
0.1366756,18.96588
0.1366918,18.96588
0.1050482,17.70635
0.1050585,17.70635
0.2123478,17.72109
0.212329,17.72109
0.08806665,17.05995
0.08808958,17.05995
0.05534631,16.43975
0.05533594,16.43975
0.1047179,16.6647
0.1047836,16.6647
0.1367704,17.65676
0.1367155,17.65676
0.08813164,17.0915
0.08818378,17.0915
0.1348148,16.81586
0.1347854,16.81586
0.1223693,17.68792
0.1223931,17.68792
0.1246892,17.62496
0.1246807,17.62496
0.1362031,17.41776
0.1362179,17.41776
0.1339351,16.82679
0.1338921,16.82679
0.1233455,17.53855
0.1234086,17.53855
0.1220537,17.54505
0.1220987,17.54505
0.4399166,19.41888
0.4398298,19.41888
0.03030206,17.39284
0.03028658,17.39284
0.2219219,18.87609
0.2218959,18.87609
0.163989,19.44948
0.1639103,19.44948
0.284744,18.26332
0.2848404,18.26332
0.164601,17.81659
0.1646521,17.81659
0.104351,17.61978
0.1043117,17.61978
0.1600255,17.68882
0.1600437,17.68882
0.1268587,17.43279
0.1268364,17.43279
0.1307157,17.32853
0.130678,17.32853
0.1475889,17.65287
0.1475645,17.65287
0.2573898,17.91458
0.2573959,17.91458
0.08876202,17.062
0.0887304,17.062
0.3964083,19.09942
0.3963568,19.09942
0.2587642,17.87129
0.2588204,17.87129
0.09799057,17.69365
0.09803706,17.69365
0.09939211,17.22947
0.09946534,17.22947
0.09498072,17.67236
0.09497311,17.67236
0.09672172,17.78103
0.09671388,17.78103
0.1276727,17.47062
0.1276063,17.47062
0.09531157,17.3564
0.0952909,17.3564
0.0670743,16.88485
0.06718142,16.88485
0.0882312,16.52479
0.08824154,16.52479
0.1399253,17.49866
0.1398996,17.49866
0.2125967,17.64982
0.2125257,17.64982
0.09531177,17.77827
0.09536736,17.77827
0.09541586,17.39174
0.09541956,17.39174
0.04471629,17.65597
0.04232889,17.24415
0.04812082,14.31101
0.04087288,17.59261
0.04335027,17.49107
0.04384797,17.19624
0.0443475,17.32588
0.04614336,17.40663
0.04176417,16.38199
0.04144965,16.20753
0.0458436,16.77689
0.04785177,16.9277
0.04117141,16.48855
0.04228496,15.38442
0.04541563,16.30358
0.04341232,16.56399
0.04748411,17.20123
0.4498096,19.17242
0.4501037,19.17242
0.04716573,17.20479
0.04718106,17.20479
0.04257662,17.46258
0.04249464,17.46258
0.03379481,17.43921
0.03379156,17.43921
0.0333937,14.46013
0.03342812,14.46013
0.03345294,15.17491
0.03345513,15.17491
0.09699048,17.09596
0.09711574,17.09596
0.09685963,17.61377
0.09674084,17.61377
0.4182477,19.36016
0.4184126,19.36016
0.09570944,17.70429
0.09567464,17.70429
0.09652442,17.24628
0.09645705,17.24628
0.08921963,16.39954
0.08924252,16.39954
0.04574651,17.45087
0.04568858,17.45087
0.3239494,18.09348
0.3239354,18.09348
0.1227786,17.58607
0.1227516,17.58607
0.4728568,19.5156
0.472636,19.5156
0.330637,18.39308
0.3307938,18.39308
0.2141056,16.97493
0.2141092,16.97493
0.125173,17.32724
0.1252323,17.32724
0.09437901,17.62675
0.09435425,17.62675
0.04458822,15.20686
0.04460886,15.20686
0.09318665,16.88399
0.09314977,16.88399
0.02165324,15.98643
0.02169315,15.98643
0.1784398,17.40269
0.1784787,17.40269
0.1779133,17.88694
0.1778199,17.88694
0.1396246,17.01731
0.1394892,17.01731
0.1419539,17.67786
0.1418547,17.67786
0.09253307,17.45505
0.09258463,17.45505
0.09613974,17.62117
0.09614977,17.62117
0.3378441,17.59423
0.3374618,17.59423
0.04454955,16.13734
0.04455411,16.13734
0.04389195,17.0617
0.04390857,17.0617
0.0452228,15.46552
0.04526117,15.46552
0.09373849,17.68142
0.09377654,17.68142
0.1791194,17.75515
0.1790494,17.75515
0.04376306,17.09435
0.04374476,17.09435
0.043736,17.37392
0.04373935,17.37392
0.03367684,14.53234
0.03368467,14.53234
0.03267652,16.65763
0.03270039,16.65763
0.2050562,17.81333
0.1440468,17.67318
0.188069,19.49719
0.09554408,16.5843
0.0463312,17.71386
0.09868158,17.04827
0.09169753,16.68238
0.098474,15.6869
0.2711993,17.52121
0.1226806,17.65087
0.1226908,17.65087
